n_estimators,min_child_weight,max_depth,learning_rate,gamma,log_loss,neg_brier_score
100,5,14,0.26999999999999996,3.0,0.29327346811377886,-0.08917750451813097
50,4,7,0.019999999999999997,5.0,0.33151309211297014,-0.09767319712623927
50,9,9,0.15999999999999998,3.0,0.3004238492967832,-0.08649794226635223
125,1,3,0.08999999999999998,0.0,0.281397752757964,-0.08585400960861586
150,6,9,0.049999999999999996,4.0,0.2907879619437278,-0.08571787712341497
75,9,11,0.12999999999999998,4.0,0.292456069099485,-0.08603758521939864
50,8,8,0.15999999999999998,1.0,0.3030078816620537,-0.08977459896667904
75,7,11,0.09999999999999998,0.0,0.30253266511050614,-0.0882487046694822
50,6,10,0.15999999999999998,2.0,0.3076168717064925,-0.08818161548284957
125,9,11,0.13999999999999999,3.0,0.2940916493551618,-0.08592270240747742
50,4,5,0.26999999999999996,2.0,0.29721004159350656,-0.08727533224705063
125,6,3,0.16999999999999998,5.0,0.28604014047023696,-0.08605302681448371
75,7,12,0.21999999999999997,1.0,0.3114174362975615,-0.09009005605486968
50,2,6,0.27999999999999997,4.0,0.29239264309289215,-0.08785937689111892
50,7,7,0.11999999999999998,1.0,0.2993952632428065,-0.08726454751144948
150,3,14,0.039999999999999994,1.0,0.30659975318444543,-0.08793683040497623
125,2,4,0.26999999999999996,5.0,0.28515780730911916,-0.0874104503518475
125,7,4,0.15999999999999998,5.0,0.28424144053196154,-0.08553512898660323
50,2,4,0.039999999999999994,4.0,0.3062636361505955,-0.09145743437756532
50,9,6,0.11999999999999998,3.0,0.2886755189261397,-0.08510490318906479
125,8,14,0.09999999999999998,0.0,0.32352566483660616,-0.08993332142392049
150,1,14,0.10999999999999997,4.0,0.2949778920373419,-0.08739083626487522
50,2,4,0.12999999999999998,2.0,0.280264029870824,-0.08668209904431037
125,7,3,0.25999999999999995,4.0,0.2846306802764324,-0.08616151358234643
100,8,6,0.27999999999999997,2.0,0.3006879400304875,-0.09049620905451117
100,8,12,0.22999999999999998,5.0,0.29375516265237434,-0.08602400953475146
150,7,4,0.08999999999999998,0.0,0.29103870920761205,-0.08674455905880085
125,2,13,0.19999999999999998,2.0,0.31569301689980617,-0.08912498542345525
50,7,5,0.08999999999999998,1.0,0.28213613882059313,-0.08581403675385271
125,4,5,0.18999999999999997,1.0,0.29163938825158936,-0.08868957568206093
75,6,13,0.3,4.0,0.2951211015404279,-0.09034875227219775
50,1,3,0.16999999999999998,1.0,0.28314531491966266,-0.08536829832633692
75,1,14,0.13999999999999999,5.0,0.3005425001221866,-0.0867925542448737
150,1,8,0.039999999999999994,5.0,0.2922668965125718,-0.08589629750057245
100,1,10,0.18,5.0,0.29957159353743645,-0.08684205342798713
125,5,11,0.18999999999999997,5.0,0.2879263640123087,-0.08667175427292925
100,7,8,0.22999999999999998,0.0,0.3539880190997225,-0.09457127742486326
75,9,10,0.15,2.0,0.30024124055562273,-0.08728657800621523
75,2,9,0.23999999999999996,1.0,0.32879178328863207,-0.09297894710529127
125,6,11,0.22999999999999998,5.0,0.2962966018623283,-0.08691244506450327
150,4,6,0.20999999999999996,5.0,0.29241678017582695,-0.08640551982916686
75,2,7,0.12999999999999998,1.0,0.3028479412273017,-0.0899240528137927
50,2,13,0.019999999999999997,3.0,0.33434602067578356,-0.09807437473617267
100,1,6,0.019999999999999997,1.0,0.302074777540427,-0.08988022854603668
50,9,7,0.18,2.0,0.2913562631756785,-0.08790296308751551
125,9,6,0.039999999999999994,4.0,0.28693312238650404,-0.08533334091885106
150,8,14,0.15999999999999998,5.0,0.29333840315546933,-0.08622665168771519
150,4,11,0.23999999999999996,4.0,0.29534083047311926,-0.08700337213822103
100,1,11,0.11999999999999998,3.0,0.30026408966306,-0.0885286411663034
125,8,9,0.20999999999999996,0.0,0.3602212949806627,-0.09434499960677675
100,4,6,0.3,3.0,0.29122318741500475,-0.08895789556991814
75,5,7,0.11999999999999998,2.0,0.2956930123091819,-0.08615296222443887
