n_estimators,min_child_weight,max_depth,learning_rate,gamma,log_loss,neg_brier_score
200,5,11,0.039999999999999994,4.0,0.3729702713373119,-0.11633110274268936
100,2,8,0.29,1.0,0.39329661268293203,-0.12345072197624077
250,2,4,0.21999999999999997,0.0,0.4292724486706989,-0.12935925896675632
150,4,14,0.07999999999999999,4.0,0.3720119069967571,-0.11623139147536607
50,5,5,0.07999999999999999,0.0,0.3693359632243889,-0.1155153354610166
100,6,3,0.18,2.0,0.36662334767899235,-0.1159361904931882
100,5,6,0.29,5.0,0.37341932561423946,-0.11708437561283729
200,6,5,0.29,4.0,0.3756900847052755,-0.1180473491847233
200,3,11,0.11999999999999998,5.0,0.3726604578847832,-0.11719865502630414
150,2,11,0.19999999999999998,0.0,0.5061261069490094,-0.13407003216889612
150,4,6,0.16999999999999998,0.0,0.4227679172016499,-0.12381250239211314
250,7,14,0.16999999999999998,4.0,0.3750191738466045,-0.11715811278737003
100,6,10,0.19999999999999998,2.0,0.37966807692797677,-0.118415697183843
150,2,12,0.21999999999999997,4.0,0.37734843147151254,-0.11901956596912103
150,1,6,0.15,1.0,0.37788947851932914,-0.11701917288131203
200,4,5,0.06999999999999999,4.0,0.3717190279826417,-0.11571718198234429
200,8,8,0.13999999999999999,1.0,0.37821540560269007,-0.11643023537188509
50,1,14,0.3,2.0,0.3964638159160571,-0.12231614854277409
250,3,12,0.019999999999999997,1.0,0.38548492592889766,-0.11888129687325692
150,5,6,0.29,4.0,0.3728480638376157,-0.11677516313162725
50,3,9,0.06999999999999999,2.0,0.3765211558754841,-0.11722829598187354
150,9,8,0.20999999999999996,5.0,0.3726764281236923,-0.11674845244932534
100,6,6,0.049999999999999996,4.0,0.3724293169657047,-0.11558377785684404
250,9,10,0.08999999999999998,4.0,0.36746906446834043,-0.1154822228167082
50,4,11,0.15999999999999998,5.0,0.37229413843613907,-0.11736622604019253
150,4,3,0.06999999999999999,1.0,0.36722444748844235,-0.11481992531415064
150,1,6,0.039999999999999994,4.0,0.37212381814934614,-0.11617852736190808
250,3,14,0.22999999999999998,4.0,0.3736794299854633,-0.11787316575844801
200,5,5,0.26999999999999996,4.0,0.3745973494006125,-0.11697208337350362
