caseid,tname,tid,nan_count_per_column,zero_count,size,samplingperiode
24,SNUADC/ECG_II,d56c02e0fbcd261baa6414b175b2da4a1cc74067,1393,0,3245490,
24,SNUADC/PLETH,5176410c1a3833256aba2e66b5c65bb150c63da0,1393,0,3245490,
25,BIS/EEG1_WAV,2dfd0a2c1d87ceb0e79fcb7494b64f2f5dd1728a,2238,463,1898507,
25,BIS/EEG2_WAV,be272d13bca9144f0e615863a28986cdad533432,2238,191,1898507,
25,Primus/AWP,b32124dd8774c241e455e1779b6c9a4656acbc0a,4479,0,927005,
25,Primus/CO2,9564a69b1ab30834e5cd3778f959265d065e080e,1715,51479,927005,
25,SNUADC/ART,3acbb1aa05ff8ced883ad824b695dff3c79dc954,8238,0,7416040,
25,SNUADC/ECG_II,ceb44708404b4aca3365a27f07adf423ded6604e,8238,0,7416040,
25,SNUADC/ECG_V5,ee718201a838c2a7ecee87b0107ce04d356480b6,8238,0,7416040,
25,SNUADC/PLETH,029d8f9517d549a8ee6fbd4364272c821100b8bd,8238,0,7416040,
26,BIS/EEG1_WAV,d106baa9f945385a7b8795b1193d465e84046440,2460,851,1370860,
26,BIS/EEG2_WAV,cd3bd7fdf266a1293c987acdfc82291d0157c465,2460,1595,1370860,
26,Primus/AWP,cf8363878357a8e30feac85a819b13fe146809c3,2445,0,669366,-0.4008
26,Primus/CO2,a645fca7a461b3c6420f50efdb3cb2250c0e4ae0,1206,73875,669366,0.0
26,SNUADC/ART,5226c6b6e92a0d9f3a8b1fe961bc122f4657bc99,9755,0,5354921,
26,SNUADC/CVP,1a81a39a5ed99d0cf720dc2bcdd53a5b54e53232,9755,0,5354921,
26,SNUADC/ECG_II,688c875bdf77a0a87010a316604d2f45b5f7505d,9755,0,5354921,
26,SNUADC/PLETH,d3293fac5a147b99d1e2285379f5cdbccc227e57,9755,0,5354921,
27,BIS/EEG1_WAV,f40db7484c23f5c003f660be040b4ae3e5ad0acb,356,1148,2287332,
27,BIS/EEG2_WAV,5572f89cfc850fd868adb10f237091a53c5fcb13,356,2309,2287332,
27,Primus/AWP,a916dc2e676d66ad9ccbe05728c21e73864896f7,4264,24863,1116862,0.0
27,Primus/CO2,7bc6267e48279316f1445744a902cc14758aa00a,262,42751,1116862,0.0
27,SNUADC/ART,f6154f7fa1a239452904ade8adb1d31e30bbb581,699,0,8934890,
27,SNUADC/ECG_II,9c4bbeb1be76640e7c6d39ad129b96ad6169f167,699,0,8934890,
27,SNUADC/PLETH,eed9b10d8c0d1552abe5f6dd3e3cc631d636b3bb,699,0,8934890,
28,Primus/AWP,fe99ce476fe82578feedcb15325b68617a845754,6086,28073,1681376,0.1
28,Primus/CO2,3669626b476285a1354fcd1c2859f0ac3392fffa,2156,55224,1681376,0.0
28,SNUADC/ART,947e195f769faabcec802fa7d7e753121527ab2a,16150,0,13451006,
28,SNUADC/CVP,2175e2f5bac9e1d0f0d87b9481068731fec6e5d3,16150,0,13451006,
28,SNUADC/ECG_II,ce011920aef9bc0849b155ccbc347ffd0c6fab30,16150,0,13451006,
28,SNUADC/PLETH,2c0b41ff781b245daeba7de81b80f2b43047310a,16150,0,13451006,
29,BIS/EEG1_WAV,262ab0f3d77425efdfaf4dafdb8ba8872d4f868f,6198,1009,2738278,22.4
29,BIS/EEG2_WAV,93c50edf64610837b3f2d34d38c31582ae7e31a0,6198,672,2738278,22.55
29,Primus/AWP,30122c6f8cf09f4c573e4aae2f0da080a2159e36,6012,55069,1337050,
29,Primus/CO2,ea60cf12a080b6d6eed53c1a203693e9ea6ac710,1990,36257,1337050,
29,SNUADC/ART,40ce61e5aa0176baae10fd8472e41fe9b77f0319,10086,0,10696396,
29,SNUADC/ECG_II,2642dccbcc9644066207abdaee7a5e596b860d88,10086,0,10696396,
29,SNUADC/ECG_V5,f531afd82e48b447a9055806a96ec081344a1c5b,10086,0,10696396,
29,SNUADC/PLETH,454d6e390d73885bf7dbc65a2c328124237ef769,10086,0,10696396,
30,BIS/EEG1_WAV,667f978a82678c075c4beb93323341abef6efb16,192,665,1423632,20.35
30,BIS/EEG2_WAV,a4a5083c7e241e7bbf372c91277200dc7ef9135e,192,499,1423632,26.7
30,Primus/AWP,15c5f3207dae59559a61da95794a231253926ca5,1563,8351,695133,
30,Primus/CO2,78e23ae90011c1f9a2b2e5fc806264cab0dedce4,213,30862,695133,
30,SNUADC/ECG_II,4f7573ce991ff82eed64ab25944b965dc8e101c8,506,0,5561060,
30,SNUADC/ECG_V5,611d9ea2a72398bdb9a7eba82ab19e6ee0d78a36,506,0,5561060,
30,SNUADC/PLETH,1b082f158d97ae1c1093bd42c1581446adc13a91,506,0,5561060,
